Time,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
2020-03-21,0,2,40,0,0,4,227,0,47,11,25,2,9,2,0,0,4,0,0,0,1,1,3,2,0,1,1,0,0,0,0,0,0,0
2020-03-22,0,1,43,0,0,4,256,0,45,12,40,2,9,2,1,0,4,0,0,0,1,1,3,2,0,1,1,0,1,0,2,0,0,0
2020-03-23,0,4,52,0,0,4,301,1,45,12,40,2,11,2,1,0,5,0,0,0,1,1,3,1,0,1,1,1,1,0,2,0,0,0
2020-03-24,0,4,60,0,0,4,370,1,45,16,50,3,11,3,1,0,4,1,1,0,2,6,3,3,0,1,2,1,1,0,3,0,0,0
2020-03-25,0,7,62,0,0,14,409,1,58,34,49,3,11,3,2,0,4,2,0,0,2,6,3,12,0,1,1,1,1,0,3,0,0,0
2020-03-26,1,7,62,0,0,13,444,1,62,34,53,3,11,6,1,0,4,2,0,3,2,7,3,26,1,3,2,1,1,0,7,0,0,0
2020-03-27,4,7,79,0,0,19,516,1,79,37,54,3,11,6,1,0,4,2,0,5,2,7,3,28,1,4,1,1,1,2,7,0,0,0
2020-03-28,4,7,98,0,0,19,522,1,96,48,65,3,17,7,1,2,4,2,1,5,2,7,3,32,2,4,1,1,1,2,7,0,0,0
2020-03-29,5,8,101,0,0,19,562,1,124,56,72,8,17,7,1,2,4,2,0,5,2,7,3,46,2,4,2,1,1,2,9,1,0,0
2020-03-30,5,17,123,1,0,15,576,2,152,74,67,9,17,7,5,2,5,2,0,8,1,12,3,49,3,8,3,1,1,2,9,1,0,0
2020-03-31,5,17,136,2,0,20,616,2,166,86,69,5,20,9,8,2,6,4,3,8,1,18,3,49,3,8,3,1,1,1,10,1,0,0
2020-04-01,5,13,131,1,0,25,673,2,188,97,78,6,20,9,8,2,6,6,3,8,2,19,3,61,2,8,2,1,0,1,8,1,0,0
2020-04-02,5,13,143,1,0,23,755,2,187,97,71,6,20,7,8,2,6,6,9,8,2,19,3,61,2,7,6,1,0,1,8,1,0,0
2020-04-03,5,15,149,1,1,23,829,2,188,85,119,6,21,10,8,8,7,5,10,8,2,19,6,73,4,11,9,1,0,1,13,1,0,0
2020-04-04,4,20,149,1,1,29,883,2,207,91,109,6,22,9,8,8,5,7,9,8,2,22,4,68,4,10,9,1,0,1,14,1,0,0
2020-04-05,4,15,153,1,1,30,973,2,212,88,144,6,28,7,16,8,6,7,13,8,2,21,5,69,4,10,10,1,0,1,22,2,0,0
2020-04-06,4,23,163,1,1,36,1068,2,221,96,137,8,29,16,18,15,6,10,13,18,4,22,6,88,4,11,11,1,0,1,21,2,0,0
2020-04-07,4,23,169,1,1,37,1198,2,297,97,137,5,29,14,18,15,6,10,13,18,7,22,6,100,3,11,11,1,0,1,21,2,0,0
2020-04-08,5,29,187,1,1,28,1286,2,313,104,134,5,27,14,22,16,6,10,13,18,6,55,10,100,3,14,11,2,2,1,33,2,0,0
2020-04-09,4,43,191,2,3,28,1482,2,317,104,157,5,25,14,20,16,19,14,14,18,6,55,14,107,3,13,11,1,2,1,33,2,1,0
2020-04-10,3,54,215,2,3,28,1517,2,329,104,172,5,28,16,27,16,18,23,18,22,10,47,14,132,12,18,12,1,2,1,33,3,1,1
2020-04-11,3,58,251,3,3,28,1707,4,362,104,178,5,28,16,27,15,18,23,18,21,10,43,14,138,17,18,15,1,2,1,57,4,1,1
2020-04-12,3,60,253,3,3,28,1707,4,388,156,291,7,28,16,32,15,18,33,15,35,14,49,14,182,15,18,15,1,10,2,55,2,1,1
2020-04-13,0,64,256,3,3,44,1840,4,466,159,337,7,28,16,32,15,18,33,12,35,13,49,14,177,15,16,19,1,10,1,60,3,1,1
2020-04-14,0,69,251,3,3,37,1931,5,455,233,358,5,28,16,29,15,19,33,13,36,13,53,14,183,14,15,19,1,10,1,60,3,1,1
2020-04-15,0,73,249,4,3,37,2068,6,484,246,373,5,28,23,40,18,25,33,16,43,14,59,22,185,17,14,19,2,13,1,67,5,1,1
2020-04-16,0,79,258,5,3,33,2224,7,489,254,382,13,33,24,47,25,26,41,30,43,11,58,21,206,17,12,16,2,13,4,59,5,1,4
2020-04-17,0,86,268,5,3,32,2365,8,535,227,382,13,33,25,62,44,46,47,47,45,11,58,22,266,19,11,13,2,13,4,68,5,1,4
2020-04-18,1,92,278,5,3,34,2466,8,544,244,410,13,42,31,80,47,66,51,77,51,13,58,22,275,19,11,17,2,11,4,71,5,1,4
2020-04-19,2,94,281,6,3,33,2511,8,592,254,438,12,47,36,84,66,66,47,81,52,13,60,31,302,22,11,17,2,11,6,83,5,1,4
2020-04-20,2,95,289,5,3,34,2580,7,629,256,436,12,51,48,81,71,66,57,81,54,13,61,31,282,22,11,21,2,7,6,73,5,1,4
2020-04-21,2,105,289,5,6,35,2676,12,613,354,447,17,56,54,83,74,65,78,81,56,12,62,31,271,21,12,22,2,7,6,84,5,1,6
2020-04-22,2,101,273,5,6,38,2760,12,612,372,479,21,57,69,92,74,65,93,81,60,12,62,31,282,23,12,22,10,7,7,89,6,1,6
2020-04-23,2,108,273,6,6,37,2890,13,623,431,492,40,62,70,99,74,67,98,85,61,23,63,31,283,23,23,23,12,7,12,92,6,1,6
2020-04-24,3,118,287,6,6,34,2946,17,695,463,495,40,73,81,116,74,66,134,98,69,28,64,34,304,26,23,20,12,7,14,98,31,1,11
2020-04-25,4,109,298,6,6,36,3004,20,737,509,562,41,85,87,130,80,66,156,111,66,28,72,34,314,30,23,21,12,12,15,98,33,1,13
2020-04-26,4,107,298,7,6,39,3110,31,742,519,560,41,93,91,130,86,68,171,108,71,26,78,37,305,30,27,21,24,11,15,103,33,0,14
2020-04-27,4,109,309,7,6,39,3165,31,777,520,568,41,94,97,134,87,69,180,108,84,26,78,37,297,30,27,21,24,11,15,113,33,0,13
2020-04-28,4,123,314,7,6,47,3269,31,787,535,623,41,102,104,128,89,70,193,118,106,29,64,37,308,31,29,21,23,10,36,124,34,0,14
2020-04-29,4,115,314,7,10,47,3282,31,823,551,625,48,106,110,128,89,69,202,119,106,27,62,44,310,36,30,22,23,11,36,136,34,0,12
2020-04-30,5,105,329,7,10,45,3318,31,786,563,705,48,121,128,141,95,69,195,124,108,27,63,50,332,36,28,21,37,11,36,152,38,2,12
2020-05-01,6,110,343,14,10,53,3454,31,784,574,773,50,122,139,147,109,65,198,124,127,27,63,49,375,34,32,22,38,11,41,156,39,2,12
2020-05-02,4,104,352,14,10,59,3492,31,812,593,766,57,140,140,146,116,58,214,124,137,24,63,51,392,45,32,17,38,11,42,186,39,2,12
2020-05-03,5,107,357,15,10,59,3433,37,817,602,832,59,148,135,162,116,41,229,145,145,24,69,51,410,45,28,22,45,11,42,186,39,9,12
2020-05-04,4,108,371,15,10,58,3499,37,1007,624,829,62,153,158,165,124,41,229,137,151,24,75,51,368,45,32,26,45,11,42,186,39,9,12
2020-05-05,4,113,300,23,10,62,3574,42,1046,655,874,62,153,159,179,124,41,235,147,167,24,76,52,370,55,33,28,45,11,48,193,52,11,12
2020-05-06,9,107,324,23,12,62,3615,46,1053,682,899,79,167,164,192,124,31,231,158,184,24,82,52,385,55,40,27,45,11,52,194,52,11,12
2020-05-07,9,100,317,23,12,73,3687,46,1109,695,928,81,167,166,205,124,25,238,174,195,24,78,52,401,60,40,32,45,11,52,198,51,11,14
2020-05-08,5,101,327,21,12,77,3786,46,1128,707,931,80,194,152,213,124,23,227,172,207,26,93,53,411,60,43,35,45,18,52,211,53,11,10
2020-05-09,5,105,345,21,35,80,3877,61,1140,720,1051,103,181,152,220,124,24,237,223,215,32,110,54,404,60,40,27,46,18,52,223,55,11,10
2020-05-10,5,103,355,22,35,86,3953,61,1140,739,1129,105,182,156,230,123,22,232,214,226,50,110,58,410,68,40,28,46,18,67,254,55,11,7
2020-05-11,5,100,339,21,35,91,4023,62,1185,685,1143,105,186,163,230,124,21,220,205,215,50,124,58,397,67,39,22,46,18,67,254,55,11,6
2020-05-12,4,109,350,21,38,99,4008,62,1234,694,1256,100,184,167,244,124,23,228,206,231,43,126,58,415,79,39,26,46,29,67,268,59,15,6
2020-05-13,4,108,366,21,38,106,4079,62,1221,728,1335,104,181,183,258,123,23,223,240,237,51,123,147,466,78,39,33,67,29,67,274,64,18,6
2020-05-14,3,110,378,21,39,110,4074,63,1224,771,1418,104,178,176,261,117,23,205,359,264,48,125,146,496,86,39,39,67,41,85,278,52,17,7
2020-05-15,3,107,404,21,50,110,4038,66,1237,805,1449,104,187,129,330,117,27,163,376,284,70,125,154,527,87,39,36,70,41,85,281,50,17,7
2020-05-16,2,99,407,21,53,109,4126,76,1256,823,1620,106,187,129,337,123,25,170,374,283,77,125,160,553,87,35,35,72,41,96,296,50,44,7
2020-05-17,2,94,430,5,62,106,4241,76,1222,840,1646,104,185,129,263,113,25,164,437,291,76,134,162,579,87,36,33,76,61,99,329,50,52,7
2020-05-18,2,98,453,4,63,102,4289,77,1157,843,1750,96,176,129,321,113,33,155,451,280,78,140,162,625,85,51,34,77,80,99,329,50,61,11
2020-05-19,2,92,474,4,64,104,4356,80,1165,853,1780,96,174,134,364,108,46,155,502,281,88,149,172,651,85,52,38,79,80,99,335,50,64,11
2020-05-20,2,91,475,10,64,104,4435,85,1340,869,1881,96,176,125,419,108,45,173,550,260,113,146,172,678,85,50,38,80,96,99,355,51,69,11
2020-05-21,2,90,517,11,64,102,4362,85,1416,892,2354,93,167,128,427,110,45,186,575,261,138,168,172,678,76,64,39,81,106,102,356,59,72,27
2020-05-22,3,92,530,9,58,95,4390,83,1445,909,2460,98,166,145,438,105,46,237,576,258,155,151,177,728,76,64,37,83,128,107,383,58,72,30
2020-05-23,1,97,530,12,58,96,4450,83,1447,963,2898,126,166,147,455,105,52,239,602,244,155,160,160,780,80,62,38,83,128,108,440,57,72,30
2020-05-24,1,97,547,11,58,96,4547,82,1484,980,2915,126,168,163,463,104,55,243,609,274,181,170,160,777,71,64,39,83,130,109,502,57,72,38
2020-05-25,1,97,547,11,58,94,4553,82,1506,981,3105,128,156,142,461,96,54,212,675,268,187,169,160,791,71,69,39,88,126,106,493,57,75,38
2020-05-26,1,108,563,11,58,87,4629,82,1488,970,3136,128,151,154,487,95,54,222,729,281,208,168,111,785,69,64,29,96,126,95,493,56,77,38
2020-05-27,1,109,570,14,53,86,4704,82,1473,981,3300,135,249,162,552,94,60,256,782,276,216,182,112,795,67,60,28,95,136,94,507,54,75,40
