Time,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
2020-03-21,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,0,10,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0
2020-04-02,0,0,0,0,0,0,2,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
2020-04-04,0,0,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
2020-04-05,0,8,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,9,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0,0,4,0,3,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,5,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,1,0,0,0,0,0,12,0,2,4,3,0,2,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0
2020-04-10,0,1,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,6,0,8,0,1,0,0,0,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,60,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0
2020-04-13,3,1,0,0,0,0,0,0,3,0,5,0,0,1,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0
2020-04-14,0,1,0,0,0,12,21,0,1,0,3,2,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2020-04-15,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,1,0,0,0,0,0,0
2020-04-16,0,9,0,0,0,4,38,0,5,0,5,0,4,0,3,1,3,0,1,0,3,2,3,0,0,7,4,0,0,0,10,0,0,0
2020-04-17,0,4,2,0,0,3,2,0,13,17,8,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,4,0,0,0,0,0,0,0
