Time,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
2020-03-21,0,0,1,0,0,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,1,0,0,1,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,1,0,0,1,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,1,0,0,1,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,1,0,0,1,23,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,1,0,0,1,25,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,1,0,0,1,31,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,1,0,0,1,43,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,0,0,1,0,0,1,45,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,0,0,1,0,0,1,48,0,8,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,0,0,2,0,0,1,48,0,11,0,16,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,0,10,7,0,0,1,50,0,11,0,17,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0
2020-04-02,0,10,7,0,0,1,52,0,11,0,22,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0
2020-04-03,0,10,7,0,0,1,52,0,12,11,25,2,0,2,0,0,0,2,0,0,1,0,0,4,0,0,1,0,1,0,3,0,0,0
2020-04-04,0,10,7,0,0,1,56,0,12,11,29,2,1,2,0,0,2,0,1,0,1,0,1,9,0,0,1,0,1,0,3,0,0,0
2020-04-05,0,18,7,0,0,1,56,0,12,14,30,2,1,4,0,0,2,0,1,0,1,0,1,9,0,0,1,0,1,0,3,0,0,0
2020-04-06,0,18,7,0,0,1,65,0,13,14,38,2,1,4,0,0,2,0,1,0,1,0,1,19,0,0,1,0,1,0,3,0,0,0
2020-04-07,0,18,7,0,0,1,65,0,17,14,41,3,1,6,0,0,2,0,1,0,1,0,1,21,0,0,1,0,1,0,3,0,0,0
2020-04-08,0,18,7,0,0,6,70,0,17,14,46,3,4,6,0,0,2,0,1,0,1,0,1,21,0,0,1,0,1,0,3,0,0,0
2020-04-09,1,18,7,0,0,6,82,0,19,18,49,3,6,6,0,0,2,2,1,0,1,0,1,23,0,1,1,1,1,0,3,0,0,0
2020-04-10,1,19,7,0,0,6,82,0,19,18,62,3,6,7,0,0,2,2,1,6,1,8,1,24,0,1,1,1,1,0,3,0,0,0
2020-04-11,1,19,7,0,0,6,82,0,19,18,64,3,6,7,0,0,2,2,1,7,1,8,1,25,0,1,1,1,1,0,3,0,0,0
2020-04-12,1,19,7,0,0,6,142,0,19,19,68,3,6,7,0,0,2,2,4,6,1,8,1,25,2,1,1,1,1,0,5,2,0,0
2020-04-13,4,20,7,0,0,6,142,0,22,19,73,3,6,8,0,0,2,2,4,7,2,9,1,31,2,1,1,1,1,0,5,1,0,0
2020-04-14,4,21,7,0,0,18,163,0,23,19,76,5,6,8,3,0,2,2,4,7,2,10,1,33,2,1,1,1,1,0,5,1,0,0
2020-04-15,4,23,7,0,0,18,164,0,23,19,81,5,6,8,3,1,2,2,4,8,2,10,1,42,2,1,1,2,1,0,5,1,0,0
